name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Aberdeen,2020-01-01T00:00:00,1.1,-1.7,-3.7,70.23,0,0,,0,0,,8.9,165,1026.6,87.8,32,0,,0,,Partially cloudy,partly-cloudy-night,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-01T01:00:00,-0.8,-4.6,-3.5,82,0,0,,0,0,,11.3,162,1025.5,91,29.9,0,,0,,Overcast,cloudy,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-01T02:00:00,-1.7,-1.7,-4.3,82.08,0,0,,0,0,,4.5,27,1024.5,83.7,27.6,0,,0,,Partially cloudy,partly-cloudy-night,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-01T03:00:00,-1.2,-3.6,-3.4,85.39,0,0,,0,0,,6.4,195,1023.7,81,32.3,0,,0,,Partially cloudy,partly-cloudy-night,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-01T04:00:00,0.2,-3.3,-2.3,83.38,0,0,,0,0,,10.9,183,1022.8,90.2,29.8,0,,0,,Overcast,cloudy,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-01T05:00:00,0.7,-3.6,-1.2,87.19,0,0,,0,0,,15.2,170,1022,50,31.4,0,,0,,Partially cloudy,partly-cloudy-night,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-01T06:00:00,1.6,-2.4,-0.2,87.65,0,0,,0,0,,14.9,171,1021.7,90,31.4,0,,0,,Partially cloudy,partly-cloudy-night,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-01T07:00:00,2.2,-0.5,0.6,88.98,0,0,,0,0,31.7,9.3,140,1021.2,90,31.5,0,,0,,Partially cloudy,partly-cloudy-night,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-01T08:00:00,2.2,-0.8,0.9,91.28,0,0,,0,0,,10.2,102,1021.3,98.9,31.3,0.4,0,0,,Overcast,cloudy,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-01T09:00:00,1.6,-0.4,-0.5,85.92,0,0,,0,0,,6.8,169,1021.1,99,9.3,16.5,0.1,0,,Overcast,cloudy,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-01T10:00:00,4,1.7,1.4,82.94,0,0,,0,0,,8.9,202,1020.7,99,31.5,48.8,0.2,0,,Overcast,cloudy,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-01T11:00:00,3.7,0.4,1.4,85,0,0,,0,0,,13.9,169,1019.8,97.3,31.6,74.3,0.3,1,,Overcast,cloudy,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-01T12:00:00,3.9,3.9,1.6,84.68,0,0,,0,0,,3.7,113,1019.5,10,26.8,108.6,0.4,1,,Clear,clear-day,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-01T13:00:00,4.8,2.7,2.1,82.5,0,0,,0,0,,9.2,28,1018.9,58.3,24.1,108.1,0.4,1,,Partially cloudy,partly-cloudy-day,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-01T14:00:00,7.6,4.7,1.8,67.03,0,0,,0,0,,16.7,241,1018.1,10,29,56.1,0.2,1,,Clear,clear-day,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-01T15:00:00,4.8,1.7,1.1,76.66,0,0,,0,0,,13.8,184,1017.8,94.4,31.3,4.5,0,0,,Overcast,cloudy,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-01T16:00:00,3.4,0.3,0.9,83.74,0,0,,0,0,,12.1,193,1017.4,95.1,31.5,0,,0,,Overcast,cloudy,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-01T17:00:00,4.3,2.6,1.1,79.55,0,0,,0,0,,7.1,179,1016.6,95,26.4,0,,0,,Overcast,cloudy,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-01T18:00:00,4.9,1.5,1.2,76.58,0,0,,0,0,,16.4,219,1016.1,39.4,18.5,0,,0,,Partially cloudy,partly-cloudy-night,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-01T19:00:00,3.3,0.7,0.7,82.82,0,0,,0,0,,9.9,151,1015.6,95.1,15.6,0,,0,,Overcast,cloudy,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-01T20:00:00,4.6,1.5,1.1,77.62,0,0,,0,0,,13.7,203,1014.7,59.5,26.2,0,,0,,Partially cloudy,partly-cloudy-night,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-01T21:00:00,6,2.3,1.2,71.45,0,0,,0,0,,20.1,211,1013.4,50.2,23.9,0,,0,,Partially cloudy,partly-cloudy-night,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-01T22:00:00,6.7,3,1.2,68.2,0,0,,0,0,,21.7,241,1012.4,98.9,29.4,0,,0,,Overcast,cloudy,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-01T23:00:00,7,2.1,2.1,70.88,0,0,,0,0,,38,228,1011.6,87,31.5,0,,0,,Partially cloudy,partly-cloudy-night,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-02T00:00:00,7,3.1,2.8,74.5,0,0,,0,0,37.1,24.7,217,1010.5,88.7,31.4,0,,0,,Partially cloudy,partly-cloudy-night,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-02T01:00:00,8.9,4.8,2.2,62.92,0,0,,0,0,53.5,35.5,218,1009.2,99.4,31.5,0,,0,,Overcast,cloudy,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-02T02:00:00,8.9,4.7,1.9,61.17,0,0,,0,0,,37.6,217,1008.7,100,31.4,0,,0,,Overcast,cloudy,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-02T03:00:00,8.6,4.1,2.6,66.12,0,0,,0,0,51.8,41.1,198,1008.2,99.4,31.3,0,,0,,Overcast,cloudy,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-02T04:00:00,8.9,4.9,2.9,66.02,0,0,,0,0,55.4,34.9,211,1007.3,98.1,31.8,0,,0,,Overcast,cloudy,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-02T05:00:00,8,3.2,3.9,75.29,0,0,,0,0,57.6,42.6,206,1006.4,82.9,21.5,0,,0,,Partially cloudy,partly-cloudy-night,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-02T06:00:00,7.9,3.3,3.9,75.62,0,0,,0,0,59.4,39.5,206,1005.4,10,23.9,0,,0,,Clear,clear-night,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-02T07:00:00,7.7,2.7,4,77.32,0,0,,0,0,38.9,43.5,207,1004.9,48.8,23.9,0,,0,,Partially cloudy,partly-cloudy-night,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-02T08:00:00,7.8,2.7,4.1,77.52,0,0,,0,0,,44.7,206,1004.5,97.1,21,0.8,0,0,,Overcast,cloudy,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-02T09:00:00,8,2.7,4.1,76.22,0,0,,0,0,,51.6,197,1004.1,97,20.5,24.8,0.1,0,,Overcast,wind,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-02T10:00:00,8.3,4.1,4.2,75.35,0,0,,0,0,55.4,33.4,207,1004.4,78,21,46.8,0.2,0,,Partially cloudy,partly-cloudy-day,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-02T11:00:00,8.8,5.5,4.8,76.21,0,0,,0,0,57.6,23,211,1003.5,93.6,21.7,43.2,0.2,0,,Overcast,cloudy,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-02T12:00:00,9.3,6.1,5.1,75.13,0,0,,0,0,61.2,23.5,254,1002.4,99.3,27.3,28.2,0.1,0,,Overcast,cloudy,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-02T13:00:00,9.2,6.5,5.7,78.7,0,0,,0,0,39,19.4,244,1001.2,97.4,31.9,18.2,0.1,0,,Overcast,cloudy,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-02T14:00:00,9,5.1,5.9,80.87,0,0,,0,0,55.4,33,216,999.8,90,31.7,5.4,0,0,,Partially cloudy,partly-cloudy-day,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-02T15:00:00,9,5.8,6.3,83.32,0,0,,0,0,53.6,23.4,206,998.9,73.4,31.3,0.4,0,0,,Partially cloudy,partly-cloudy-day,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-02T16:00:00,8.7,4.6,6.9,88,0,0,,0,0,57.6,34.9,196,997.6,83.8,31.4,0,,0,,Partially cloudy,partly-cloudy-night,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-02T17:00:00,8.7,4.7,6.9,88.3,0,0,,0,0,59.4,33.1,197,996.5,73.6,31.4,0,,0,,Partially cloudy,partly-cloudy-night,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-02T18:00:00,9.7,5.7,7,83.53,0.022,100,rain,0,0,52.1,36.7,206,995.5,68,31.4,0,,0,,"Rain, Partially cloudy",rain,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-02T19:00:00,10.2,10.2,6.7,79.11,0,0,,0,0,66.6,31.9,211,995.2,83.5,31.5,0,,0,,Partially cloudy,partly-cloudy-night,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-02T20:00:00,10.7,10.7,6.8,76.71,0,0,,0,0,57.6,33.8,226,995.3,51.3,32.6,0,,0,,Partially cloudy,partly-cloudy-night,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-02T21:00:00,10.5,10.5,6.8,77.87,0,0,,0,0,63,15.7,246,996.2,14.6,32.5,0,,0,,Clear,clear-night,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-02T22:00:00,6.1,1.3,4.1,86.82,0,0,,0,0,59.4,33.4,308,999.7,55.3,30.2,0,,0,,Partially cloudy,partly-cloudy-night,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-02T23:00:00,5.3,0.7,2.8,84.03,0,0,,0,0,,26.9,296,1001.9,61.5,32.7,0,,0,,Partially cloudy,partly-cloudy-night,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-03T00:00:00,5.2,1.1,1.3,75.69,0.609,100,rain,0,0,,22.6,306,1002.7,33.3,18,0,,0,,"Rain, Partially cloudy",rain,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-03T01:00:00,5,1.3,0.1,70.41,0,0,,0,0,48.2,18.4,305,1004,33.7,16.9,0,,0,,Partially cloudy,partly-cloudy-night,"03080099999,EGPD,03088099999,03091099999"
Aberdeen,2020-01-03T02:00:00,4.7,0.3,-0.1,70.79,0,0,,0,0,,23.7,295,1005.4,21.1,17.1,0,,0,,Partially cloudy,partly-cloudy-night,"03080099999,EGPD,03088099999,03091099999"
