name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Hull UK,2020-01-01T00:00:00,0.7,0.7,0.6,98.97,0.186,100,"rain,snow",0,0,,1.7,359,1032.2,98.7,0.4,0,,0,,"Snow, Rain, Overcast",rain,"03292099999,EGXV,03382099999,03377099999,03373099999"
Hull UK,2020-01-01T01:00:00,0.4,0.4,0.3,99.82,0,0,,0,0,,4.1,214,1031.5,95.8,0.3,0,,0,,Overcast,fog,"03292099999,EGXV,03384099999,03382099999,03377099999,03373099999"
Hull UK,2020-01-01T02:00:00,1.3,1.3,1.2,99.24,0,0,,0,0,,4,217,1030.7,75.3,3.2,0,,0,,Partially cloudy,partly-cloudy-night,"03292099999,EGXV,03384099999,03382099999,03377099999,03373099999"
Hull UK,2020-01-01T03:00:00,2.2,2.2,2.2,99.89,0,0,,0,0,,4.3,171,1030.2,99.6,2.2,0,,0,,Overcast,cloudy,"03292099999,EGXV,03384099999,03382099999,03377099999,03373099999"
Hull UK,2020-01-01T04:00:00,3.2,3.2,3.1,99.76,0,0,,0,0,,4.3,198,1029.8,100,3.1,0,,0,,Overcast,cloudy,"03292099999,EGXV,03384099999,03382099999,03377099999,03373099999"
Hull UK,2020-01-01T05:00:00,4.2,4.2,4.1,99.75,0,0,,0,0,,4.6,170,1029.1,100,5,0,,0,,Overcast,cloudy,"03292099999,EGXV,03384099999,03382099999,03377099999,03373099999"
Hull UK,2020-01-01T06:00:00,4.1,4.1,4.1,99.58,0.014,100,rain,0,0,,4.3,163,1029.2,100,5.1,0,,0,,"Rain, Overcast",rain,"03292099999,EGXV,03384099999,03382099999,03377099999,03373099999"
Hull UK,2020-01-01T07:00:00,4.3,3,4.1,99.06,0,0,,0,0,,5.8,201,1029.4,100,5.1,0,,0,,Overcast,cloudy,"03292099999,EGXV,03384099999,03382099999,03377099999,03373099999"
Hull UK,2020-01-01T08:00:00,5,2.9,4.8,98.35,0,0,,0,0,,9.3,220,1029.2,100,9.9,7.9,0,0,,Overcast,cloudy,"03292099999,EGXV,03384099999,03382099999,03377099999,03373099999"
Hull UK,2020-01-01T09:00:00,5.1,2.8,3.8,91.78,0,0,,0,0,,9.6,210,1028.8,100,9.9,14,0.1,0,,Overcast,cloudy,"03292099999,EGXV,D8791,03384099999,03382099999,03377099999,03373099999"
Hull UK,2020-01-01T10:00:00,5.1,3.4,3.1,87.07,0,0,,0,0,,7.4,190,1028.5,90.2,9.9,53,0.2,1,,Overcast,cloudy,"03292099999,EGXV,D8791,03384099999,03382099999,03377099999,03373099999"
Hull UK,2020-01-01T11:00:00,5.8,3.9,3.1,82.59,0,0,,0,0,,9.2,190,1028.3,14.4,7.9,119,0.4,1,,Clear,clear-day,"03292099999,EGXV,D8791,03384099999,03382099999,03377099999,03373099999"
Hull UK,2020-01-01T12:00:00,5.8,3.1,3.1,82.88,0,0,,0,0,,12.7,199,1027.5,11.5,6.9,158,0.6,2,,Clear,clear-day,"03292099999,EGXV,D8791,03384099999,03382099999,03377099999,03373099999"
Hull UK,2020-01-01T13:00:00,5.8,2.8,3,82.29,0,0,,0,0,,14.4,210,1026.9,30.7,6.9,124,0.4,1,,Partially cloudy,partly-cloudy-day,"03292099999,EGXV,D8791,03384099999,03382099999,03377099999,03373099999"
