name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Kent UK,2020-01-01T00:00:00,4.4,1.1,3.2,91.98,0,0,,0,0,,14.7,110,1031.2,80.9,4.5,0,,0,,Partially cloudy,partly-cloudy-night,"37,690,999,990,388,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
Kent UK,2020-01-01T01:00:00,4.3,1.1,3.3,93.26,0,0,,0,0,,14.1,96,1030.9,95.1,4.2,0,,0,,Overcast,cloudy,"37,690,999,990,388,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
Kent UK,2020-01-01T02:00:00,4.2,1.1,3.1,92.71,0,0,,0,0,,13.1,101,1030.3,88,4,0,,0,,Partially cloudy,partly-cloudy-night,"37,690,999,990,388,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
Kent UK,2020-01-01T03:00:00,3.8,0.7,2.8,93.15,0,0,,0,0,,12.7,110,1030.1,87.9,4,0,,0,,Partially cloudy,partly-cloudy-night,"37,690,999,990,388,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
Kent UK,2020-01-01T04:00:00,3.8,1.3,2.9,93.5,0,0,,0,0,,9.9,123,1029.9,70.4,4.4,0,,0,,Partially cloudy,partly-cloudy-night,"37,690,999,990,388,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
Kent UK,2020-01-01T05:00:00,3.2,1.2,2.4,94.45,0,0,,0,0,,7.7,8,1029.8,87.5,3.8,0,,0,,Partially cloudy,partly-cloudy-night,"37,690,999,990,388,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
Kent UK,2020-01-01T06:00:00,2.9,1.6,2.1,94.48,0.089,100,rain,0,0,,5.4,90,1029.8,74.8,4.4,0,,0,,"Rain, Partially cloudy",rain,"37,690,999,990,388,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
Kent UK,2020-01-01T07:00:00,2.5,2.5,1.9,95.74,0,0,,0,0,,4.6,115,1029.7,83.8,4.1,0,,0,,Partially cloudy,partly-cloudy-night,"37,690,999,990,388,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
Kent UK,2020-01-01T08:00:00,2.6,2.6,2.1,96.17,0,0,,0,0,,4.3,295,1029.9,58.2,4,3,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,C9694,03882099999,03797035047,03781099999,03693099999,03770099999"
Kent UK,2020-01-01T09:00:00,3.6,3.6,3.1,96.62,0,0,,0,0,,4.6,189,1030.4,88.8,4.5,10,0,0,,Partially cloudy,partly-cloudy-day,"03769099999,03882099999,03797035047,D1286,03781099999,03693099999,03770099999"
